2025-05-09 09:46:11.671 [http-nio-10256-exec-5] INFO  c.n.w.e.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-05-03","count":1627}
2025-05-09 09:46:11.672 [http-nio-10256-exec-5] INFO  c.n.w.e.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-05-04","count":1760}
2025-05-09 09:46:11.672 [http-nio-10256-exec-5] INFO  c.n.w.e.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-05-05","count":1492}
2025-05-09 09:46:11.672 [http-nio-10256-exec-5] INFO  c.n.w.e.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-05-06","count":1734}
2025-05-09 09:46:11.672 [http-nio-10256-exec-5] INFO  c.n.w.e.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-05-07","count":1768}
2025-05-09 09:46:11.672 [http-nio-10256-exec-5] INFO  c.n.w.e.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-05-08","count":1630}
2025-05-09 09:46:11.672 [http-nio-10256-exec-5] INFO  c.n.w.e.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-05-09","count":1662}
2025-05-09 09:46:11.672 [http-nio-10256-exec-5] INFO  c.n.w.e.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-05-09","count":50}
2025-05-09 09:46:11.672 [http-nio-10256-exec-5] INFO  c.n.w.e.controller.EntryController - [월간 출입 통계] 조회됨: [com.nhnacademy.workentry.entry.dto.EntryCountDto@52b93bec, com.nhnacademy.workentry.entry.dto.EntryCountDto@1ff375a4, com.nhnacademy.workentry.entry.dto.EntryCountDto@44418439, com.nhnacademy.workentry.entry.dto.EntryCountDto@4fad41df, com.nhnacademy.workentry.entry.dto.EntryCountDto@5450759d, com.nhnacademy.workentry.entry.dto.EntryCountDto@508a64e6, com.nhnacademy.workentry.entry.dto.EntryCountDto@18224282, com.nhnacademy.workentry.entry.dto.EntryCountDto@3da44be0]
2025-05-09 13:37:05.202 [http-nio-10256-exec-6] INFO  c.n.w.e.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-05-03","count":1317}
2025-05-09 13:37:05.202 [http-nio-10256-exec-6] INFO  c.n.w.e.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-05-04","count":1760}
2025-05-09 13:37:05.202 [http-nio-10256-exec-6] INFO  c.n.w.e.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-05-05","count":1492}
2025-05-09 13:37:05.202 [http-nio-10256-exec-6] INFO  c.n.w.e.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-05-06","count":1734}
2025-05-09 13:37:05.202 [http-nio-10256-exec-6] INFO  c.n.w.e.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-05-07","count":1768}
2025-05-09 13:37:05.202 [http-nio-10256-exec-6] INFO  c.n.w.e.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-05-08","count":1630}
2025-05-09 13:37:05.203 [http-nio-10256-exec-6] INFO  c.n.w.e.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-05-09","count":1662}
2025-05-09 13:37:05.203 [http-nio-10256-exec-6] INFO  c.n.w.e.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-05-09","count":325}
2025-05-09 13:37:05.203 [http-nio-10256-exec-6] INFO  c.n.w.e.controller.EntryController - [월간 출입 통계] 조회됨: [com.nhnacademy.workentry.entry.dto.EntryCountDto@379dcbbf, com.nhnacademy.workentry.entry.dto.EntryCountDto@48511a40, com.nhnacademy.workentry.entry.dto.EntryCountDto@6c386bca, com.nhnacademy.workentry.entry.dto.EntryCountDto@61e42e69, com.nhnacademy.workentry.entry.dto.EntryCountDto@38fdc1d9, com.nhnacademy.workentry.entry.dto.EntryCountDto@783e5f9c, com.nhnacademy.workentry.entry.dto.EntryCountDto@57f70d6a, com.nhnacademy.workentry.entry.dto.EntryCountDto@17a0e69b]
2025-05-09 13:37:08.088 [http-nio-10256-exec-1] INFO  c.n.w.e.controller.EntryController - [실시간 출입 통계] 조회됨: com.nhnacademy.workentry.entry.realtime.dto.EntryRealtimeDto@3e1793d5
2025-05-09 14:31:35.012 [http-nio-10256-exec-2] INFO  c.n.w.e.controller.EntryController - [실시간 출입 통계] 조회됨: com.nhnacademy.workentry.entry.realtime.dto.EntryRealtimeDto@161a0de1
