근무일자,입실시간,퇴실시간,근무시간,출결상태
2024-09-02,2024-09-02 09:05,2024-09-02 17:51,526,출석
2024-09-03,2024-09-03 08:55,2024-09-03 17:50,535,출석
2024-09-04,2024-09-04 08:56,2024-09-04 17:56,540,출석
2024-09-05,NULL,NULL,0,휴가
2024-09-06,NULL,NULL,0,결석
2024-09-09,2024-09-09 08:54,2024-09-09 17:54,540,출석
2024-09-10,2024-09-10 08:59,2024-09-10 17:54,535,출석
2024-09-11,2024-09-11 09:02,2024-09-11 17:52,530,출석
2024-09-12,2024-09-12 08:54,2024-09-12 17:52,538,출석
2024-09-13,2024-09-13 09:00,2024-09-13 17:51,531,출석
2024-09-23,2024-09-23 08:50,2024-09-23 17:53,543,출석
2024-09-24,2024-09-24 08:55,2024-09-24 17:51,536,출석
2024-09-25,2024-09-25 08:53,2024-09-25 17:51,538,출석
2024-09-26,2024-09-26 08:58,2024-09-26 17:53,535,출석
2024-09-27,2024-09-27 08:53,2024-09-27 17:51,538,출석
2024-09-30,2024-09-30 09:08,2024-09-30 17:52,524,출석
2024-10-01,2024-10-01 08:34,2024-10-01 17:51,557,출석
2024-10-02,2024-10-02 08:56,2024-10-02 17:51,535,출석
2024-10-07,2024-10-07 08:53,2024-10-07 17:51,538,출석
2024-10-08,2024-10-08 08:44,2024-10-08 17:52,548,출석
2024-10-10,2024-10-10 09:01,2024-10-10 17:51,530,출석
2024-10-11,2024-10-11 08:45,2024-10-11 17:53,548,출석
2024-10-14,2024-10-14 09:00,2024-10-14 17:53,533,출석
2024-10-15,2024-10-15 09:05,2024-10-15 17:53,528,출석
2024-10-16,2024-10-16 08:50,2024-10-16 17:53,543,출석
2024-10-17,2024-10-17 08:54,2024-10-17 18:00,546,출석
2024-10-18,2024-10-18 08:53,2024-10-18 17:51,538,출석
2024-10-21,2024-10-21 08:58,2024-10-21 17:51,533,출석
2024-10-22,2024-10-22 09:01,2024-10-22 17:53,532,출석
2024-10-23,2024-10-23 08:52,2024-10-23 17:51,539,출석
2024-10-24,2024-10-24 08:56,2024-10-24 17:52,536,출석
2024-10-25,2024-10-25 08:53,2024-10-25 17:57,544,출석
2024-10-28,2024-10-28 08:59,2024-10-28 17:51,532,출석
2024-10-29,2024-10-29 08:50,2024-10-29 17:51,541,출석
2024-10-30,2024-10-30 08:54,2024-10-30 17:51,537,출석
2024-10-31,2024-10-31 08:53,2024-10-31 17:51,538,출석
2024-11-01,2024-11-01 08:52,2024-11-01 17:52,540,출석
2024-11-04,2024-11-04 08:42,2024-11-04 17:51,549,출석
2024-11-05,2024-11-05 09:02,2024-11-05 17:52,530,출석
2024-11-06,2024-11-06 08:51,2024-11-06 18:04,553,출석
2024-11-07,2024-11-07 08:46,2024-11-07 17:52,546,출석
2024-11-08,2024-11-08 08:52,2024-11-08 17:54,542,출석
2024-11-11,2024-11-11 08:54,2024-11-11 17:53,539,출석
2024-11-12,2024-11-12 08:54,2024-11-12 17:54,540,출석
