2025-05-11 20:02:27.413 [http-nio-10256-exec-2] INFO  c.n.w.e.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-11 11:02 | 출입자 수: 0 | 데이터: {"time":"2025-05-11 11:02","count":0}
2025-05-12 10:44:11.862 [http-nio-10256-exec-7] INFO  c.n.w.e.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-12 01:44 | 출입자 수: 0 | 데이터: {"time":"2025-05-12 01:44","count":0}
2025-05-12 10:45:11.867 [http-nio-10256-exec-9] INFO  c.n.w.e.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-12 01:45 | 출입자 수: 0 | 데이터: {"time":"2025-05-12 01:45","count":0}
2025-05-12 11:07:03.281 [http-nio-10256-exec-7] INFO  c.n.w.e.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-12 02:07 | 출입자 수: 0 | 데이터: {"time":"2025-05-12 02:07","count":0}
2025-05-12 11:08:03.259 [http-nio-10256-exec-10] INFO  c.n.w.e.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-12 02:08 | 출입자 수: 0 | 데이터: {"time":"2025-05-12 02:08","count":0}
2025-05-12 11:09:03.290 [http-nio-10256-exec-9] INFO  c.n.w.e.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-12 02:09 | 출입자 수: 0 | 데이터: {"time":"2025-05-12 02:09","count":0}
2025-05-12 11:10:03.658 [http-nio-10256-exec-8] INFO  c.n.w.e.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-12 02:10 | 출입자 수: 0 | 데이터: {"time":"2025-05-12 02:10","count":0}
2025-05-12 11:18:56.460 [http-nio-10256-exec-2] INFO  c.n.w.e.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-12 02:18 | 출입자 수: 1 | 데이터: {"time":"2025-05-12 02:18","count":1}
2025-05-12 11:19:56.459 [http-nio-10256-exec-6] INFO  c.n.w.e.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-12 02:19 | 출입자 수: 1 | 데이터: {"time":"2025-05-12 02:19","count":1}
2025-05-12 11:20:56.790 [http-nio-10256-exec-5] INFO  c.n.w.e.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-12 02:20 | 출입자 수: 1 | 데이터: {"time":"2025-05-12 02:20","count":1}
2025-05-12 11:21:56.456 [http-nio-10256-exec-7] INFO  c.n.w.e.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-12 02:21 | 출입자 수: 1 | 데이터: {"time":"2025-05-12 02:21","count":1}
2025-05-12 11:22:56.455 [http-nio-10256-exec-10] INFO  c.n.w.e.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-12 02:22 | 출입자 수: 1 | 데이터: {"time":"2025-05-12 02:22","count":1}
2025-05-12 11:23:56.460 [http-nio-10256-exec-9] INFO  c.n.w.e.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-12 02:23 | 출입자 수: 1 | 데이터: {"time":"2025-05-12 02:23","count":1}
2025-05-12 11:24:56.458 [http-nio-10256-exec-1] INFO  c.n.w.e.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-12 02:24 | 출입자 수: 1 | 데이터: {"time":"2025-05-12 02:24","count":1}
2025-05-12 11:25:56.457 [http-nio-10256-exec-8] INFO  c.n.w.e.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-12 02:25 | 출입자 수: 1 | 데이터: {"time":"2025-05-12 02:25","count":1}
2025-05-12 11:26:56.458 [http-nio-10256-exec-4] INFO  c.n.w.e.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-12 02:26 | 출입자 수: 1 | 데이터: {"time":"2025-05-12 02:26","count":1}
2025-05-12 11:27:56.458 [http-nio-10256-exec-3] INFO  c.n.w.e.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-12 02:27 | 출입자 수: 1 | 데이터: {"time":"2025-05-12 02:27","count":1}
2025-05-12 11:28:56.456 [http-nio-10256-exec-2] INFO  c.n.w.e.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-12 02:28 | 출입자 수: 1 | 데이터: {"time":"2025-05-12 02:28","count":1}
2025-05-12 11:29:56.459 [http-nio-10256-exec-6] INFO  c.n.w.e.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-12 02:29 | 출입자 수: 1 | 데이터: {"time":"2025-05-12 02:29","count":1}
